species	sp	duration	grass	legume	herb	func_grp	indicator	nat_exo	status	rare
"Panicum effusum"	Pan_eff	Perennial	1	0	0	C4	C	N	NA	NA
"Parentucellia latifolia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Paronychia brasiliana"	Par_bra	Perennial	0	0	1	Herb	NA	E	NA	NA
"Paspalum dilatatum"	Pas_dil	Perennial	1	0	0	C4	NA	E	NA	NA
"Pentapogon sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Persicaria  prostrata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Persicaria sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Petrorhagia nanteuilii"	Pet_nan	Annual	0	0	1	Herb	NA	E	NA	NA
"Phalaris aquatica"	Pha_aqu	Perennial	1	0	0	C3	NA	E	NA	NA
"Pimelia curviflora"	Pim_cur	Perennial	0	0	0	Woody_shrub	2	N	I	NA
"Plantago gaudichaudii"	Pla_gau	Perennial	0	0	1	Herb	2	N	I	R
"Plantago lanceolata"	Pla_lan	Annual	0	0	1	Herb	NA	E	NA	NA
"Plantago varia"	Pla_var	Perennial	0	0	1	Herb	2	N	I	NA
"Poa (exotic)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Poa labillardieri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Poa pratensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Poa sieberiana"	Poa_sie	Perennial	1	0	0	C3	C	N	NA	NA
"Polygonum aviculare"	Pol_avi	Annual	0	0	1	Herb	NA	E	NA	NA
"Poranthera microphylla"	Por_mic	Annual	0	0	1	Herb	2	N	I	NA
"Prunus sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Psilurus incurvus"	Psi_inc	Annual	1	0	0	NA	NA	E	NA	NA
"Pterostylis sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Pyracantha sp."	Pyr_sp.	Perennial	0	0	0	Woody_shrub	NA	E	NA	NA
"Ranunculus pumilio"	Ran_pum	Annual	0	0	1	Herb	2	N	NA	NA
"Ranunculus trilobus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Romulea sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rosa rubiginosa"	Ros_rub	Perennial	0	0	0	Woody_shrub	NA	E	NA	NA
"Rubus fruticosus"	Rub_fru	Perennial	0	0	0	Woody_shrub	NA	E	NA	NA
"Rubus parvifolius"	Rub_pfo	Perennial	0	0	0	Woody_shrub	2	N	NA	NA
"Rumex brownii "	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rumex crispus"	Rum_cri	Perennial	0	0	1	Herb	NA	E	NA	NA
"Rumex dumosus"	Rum_dum	Perennial	0	0	1	Herb	C	N	I	NA
"Rumex sp."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rytidosperma caespitosum"	Ryt_cae	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma carphoides"	Ryt_car	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma laevis"	Ryt_lae	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma pallidum"	Ryt_pal	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma pilosa"	Ryt_pil	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma racemosum"	Ryt_rac	Perennial	1	0	0	C3	C	N	NA	NA
"Rytidosperma sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rytidosperma sp (ALL)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rytidosperma sp 3. large"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rytidosperma sp. 2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rytidosperma sp. 4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Salvia verbenaca"	Sal_ver	Perennial	0	0	1	Herb	NA	E	NA	NA
"Sanguisorba minor"	San_min	Perennial	0	0	1	Herb	NA	E	NA	NA
"Schoenus apogon"	Sch_apo	Annual	0	0	0	Sedge_Rush	C	N	NA	NA
"Scleranthus biflorus"	Scl_bif	Perennial	0	0	1	Herb	2	N	I	NA
"Sebaea ovata"	Seb_ova	Annual	0	0	1	Herb	2	N	NA	NA
"Senecio quadridentatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Senecio sp."	Sen_sp.	NA	0	0	1	Herb	C	N	NA	NA
"Setaria parviflora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sherardia arvensis"	She_arv	Annual	0	0	1	Herb	NA	E	NA	NA
"Silene gallica"	Sil_gal	Annual	0	0	1	Herb	NA	E	NA	NA
"Solanum chenopodioides"	Sol_che	Perennial	0	0	1	Herb	NA	E	NA	NA
"Solanum cinereum"	Sol_cin	Perennial	0	0	0	Woody_shrub	2	N	NA	NA
"Solanum nigrum"	Sol_nig	Annual	0	0	1	Herb	NA	E	NA	NA
"Solenogyne dominii"	Sol_dom	Perennial	0	0	1	Herb	C	N	I	NA
"Sonchus asper"	Son_asp	Annual	0	0	1	Herb	NA	E	NA	NA
"Sonchus oleraceus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sonchus spp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sorghum leiocladum"	Sor_lei	Perennial	1	0	0	C4	2	N	I	NA
"Stackhousia monogyna"	Sta_mon	Perennial	0	0	1	Herb	2	N	I	NA
"Stellaria pungens"	Ste_pun	Perennial	0	0	1	Herb	2	N	NA	NA
"Stuartina hamata"	Stu_ham	Annual	0	0	1	Herb	C	N	NA	NA
"Swainsona sericea"	Swa_ser	Perennial	0	0	1	Herb	2	N	I	R
"Taraxacum sect. ruderallia"	Tar_sec	Perennial	0	0	1	Herb	NA	E	NA	NA
"Taraxacum spp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Themeda triandra"	The_tri	Perennial	1	0	0	C4	2	N	I	NA
"Tolpis barbata"	Tol_bar	Annual	0	0	1	Herb	NA	E	NA	NA
"Tragopogon porrifolius"	Tra_por	Annual	0	0	1	Herb	NA	E	NA	NA
"Tricoryne elatior"	Tri_ela	Perennial	0	0	1	Herb	2	N	I	NA
"Trifolium angustifolium"	Tri_ang	Annual	0	1	1	Legume	NA	E	NA	NA
"Trifolium arvense"	Tri_arv	Annual	0	1	1	Legume	NA	E	NA	NA
"Trifolium campestre"	Tri_cam	Annual	0	1	1	Legume	NA	E	NA	NA
"Trifolium dubium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium glomeratum"	Tri_glo	Annual	0	1	1	Legume	NA	E	NA	NA
"Trifolium sp"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium stellata"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium striatum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Trifolium subterraneum"	Tri_sub	Annual	0	1	1	Legume	NA	E	NA	NA
