Species	Sp	Duration	Grass	Legume	Herb	func_grp	Significance	Status	Indicator	rare			
"""Isotoma fluviatilis"""	Iso_flu	Perennial	0	0	1	Herb	A	N	1	NA			
"""Juncus australis """	Jun_aus	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Juncus bufonius"""	Jun_buf	Annual	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Juncus capitatus """	Jun_cap	Annual	0	0	0	Sedge_Rush	Z	E	NA	NA			
"""Juncus filicaulis"""	Jun_fil	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Juncus fockei"""	Jun_foc	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Juncus sp. (native)"""	Jun_sp.	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Juncus subsecundus"""	Jun_sub	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Juncus usitatus"""	Jun_usi	Perennial	0	0	0	Sedge_Rush	C	N	NA	NA			
"""Lachnagrostis filiformis"""	Lac_fil	Annual	1	0	0	C3	C	N	NA	NA			
"""Lactuca serriola"""	Lac_ser	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Latuca saligna"""	Lat_sal	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Lepidium africanum"""	Lep_afr	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Leptorhynchos squamatus"""	Lep_squ	Perennial	0	0	1	Herb	A	N	1	NA			
"""Leptospermum sp."""	Lep_sp.	Perennial	0	0	0	Woody_shrub	B	N	1	NA			
"""Ligustrum sp."""	Lig_sp.	Perennial	0	0	0	Woody_shrub	X	E	NA	NA			
"""Linaria pelisserana"""	Lin_pel	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Linaria sp."""	Lin_sp.	Annual	NA	NA	NA	Herb	Z	E	NA	NA			
"""Linaria sp. (arvensis?)"""	Lin_sp.(arvensis)	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Linum marginale"""	Lin_mar	Perennial	0	0	1	Herb	A	N	1	NA			
"""Linum trigynum"""	Lin_tri	Perennial	NA	NA	NA	NA	Z	E	NA	NA			
"""Lissanthe strigosa"""	Lis_str	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Lolium perenne"""	Lol_per	Annual	1	0	0	C3	Z	E	NA	NA			
"""Lolium rigidum"""	Lol_rig	Annual	1	0	0	C3	Z	E	NA	NA			
"""Lomandra bracteata"""	Lom_bra	Perennial	0	0	1	Herb	A	N	1	NA			
"""Lomandra coriacea filiformis"""	Lom_cor	Perennial	0	0	1	Herb	A	N	1	NA			
"""Lomandra filiformis"""	Lom_fil	Perennial	0	0	1	Herb	A	N	1	NA			
"""Lomandra longifolia"""	Lom_lon	Perennial	0	0	1	Herb	A	N	1	NA			
"""Lomandra multiflora"""	Lom_mul	Perennial	0	0	1	Herb	A	N	1	NA			
"""Luzula densiflora"""	Luz_den	Perennial	0	0	0	Sedge_Rush	B	N	1	NA			
"""Lycium ferocissimum"""	Lyc_fer	Perennial	0	0	0	Woody_shrub	Y	E	NA	NA			
"""Lythrum hyssopifolia"""	Lyt_hys	Annual	0	0	1	Herb	C	N	NA	NA			
"""Malva sp."""	Mal_sp.	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Medicago sp."""	Med_sp.	Annual	0	1	1	Leguminous_herb	Z	E	NA	NA			
"""Melichrus urceolatus"""	Mel_urc	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Mentha diemenica"""	Men_die	Perennial	0	0	1	Herb	A	N	1	NA			
"""Microlaena stipoides"""	Mic_sti	Perennial	1	0	0	C3	C	N	NA	NA			
"""Microseris lanceolata"""	Mic_lan	Perennial	0	0	1	Herb	A	N	1	R			
"""Microtis sp"""	Mic_sp	Perennial	0	0	1	Herb	A	N	1	NA			
"""Microtis unifolia"""	Mic_uni	Perennial	0	0	1	Herb	A	N	1	NA			
"""Modiola caroliniana"""	Mod_car	Perennial	0	0	1	Herb	Y	E	NA	NA			
"""Moenchia erecta"""	Moe_ere	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Montia fontana"""	Mon_fon	Annual	0	0	1	Herb	C	N	NA	NA			
"""Myosotis discolor"""	Myo_dis	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Nassella neesiana"""	Nas_nee	Perennial	1	0	0	C3	X	E	NA	NA			
"""Nassella trichotoma"""	Nas_tri	Perennial	1	0	0	C3	X	E	NA	NA			
"""Oenothera mollissima"""	Oen_mol	Annual	0	0	1	Herb	NA	E	NA	NA			
"""Oenothera stricta"""	Oen_str	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Onopordum acanthium"""	Ono_aca	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Opercularia hispida"""	Ope_his	Perennial	0	0	1	Herb	A	N	1	NA			
"""Ophioglossum lusitanicum"""	Oph_lus	Perennial	0	0	1	Herb	A	N	1	NA			
"""Orobanche minor"""	Oro_min	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Oxalis perennans"""	Oxa_per	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Panicum effusum"""	Pan_eff	Perennial	1	0	0	C4	C	N	NA	NA			
"""Parentucellia latifolia"""	Par_lat	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Paronychia brasiliana"""	Par_bra	Perennial	0	0	1	Herb	Z	E	NA	NA			
"""Paspalum dilatatum"""	Pas_dil	Perennial	1	0	0	C4	X	E	NA	NA			
"""Pentapogon sp."""	Pen_sp	Annual_Perennial	NA	NA	NA	C3	C	N	NA	NA			
"""Persicaria prostrata"""	Per_pro	Perennial	0	0	1	Herb	C	N	NA	NA			
"""Persicaria sp."""	Per_sp	Annual_Perennial	0	0	1	Herb	NA	NA	NA	NA			
"""Petrorhagia nanteuilii"""	Pet_nan	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Phalaris aquatica"""	Pha_aqu	Perennial	1	0	0	C3	X	E	NA	NA			
"""Pimelia curviflora"""	Pim_cur	Perennial	0	0	0	Woody_shrub	A	N	1	NA			
"""Plantago gaudichaudii"""	Pla_gau	Perennial	0	0	1	Herb	A	N	1	R			
"""Plantago lanceolata"""	Pla_lan	Annual	0	0	1	Herb	Y	E	NA	NA			
"""Plantago varia"""	Pla_var	Perennial	0	0	1	Herb	A	N	1	NA			
"""Poa (exotic)"""	Poa_(exotic)	Annual	1	0	0	C3	Z	E	NA	NA			
"""Poa labillardieri"""	Poa_lab	Perennial	1	0	0	C3	C	N	NA	NA			
"""Poa pratensis"""	Poa_pra	Perennial	1	0	0	C3	Z	E	NA	NA			
"""Poa sieberiana"""	Poa_sie	Perennial	1	0	0	C3	A	N	1	NA			
"""Polygonum aviculare"""	Pol_avi	Annual	0	0	1	Herb	Z	E	NA	NA			
"""Poranthera microphylla"""	Por_mic	Annual	0	0	1	Herb	A	N	1	NA			
"""Prunus sp."""	Pru_sp	Perennial	0	0	0	Woody_shrub	Y	E	NA	NA			
"""Psilurus incurvus"""	Psi_inc	Annual	1	0	0	NA	Z	E	NA	NA			
"""Pterostylis sp."""	Pte_sp	Perennial	0	0	1	Herb	A	N	1	NA			
